"Region, subregion, country or area *",Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
Afghanistan,2021,  39 618,  40 099,  20 255,  19 845,61.8,102.1,16.7,  1 146,28.5,962,2.4,28.9,  1 441,189,35.8,4.64,2.06,28.9,105,295,169,126,7.3,62,58.9,65.3,51.4,48.3,54.6,11.9,11,12.7,5,4.6,5.3,64,44.7,"1,387.56",82,58,156,193,117,329,390,264,160,207,109,280,342,214,-184,-4.6
Albania,2021,  2 862,  2 855,  1 426,  1 429,104.2,99.8,37.3,-3,-1.1,-14,-0.48,...,29,1,10.2,1.39,0.66,28.9,108,32,19,13,11.3,76.5,74.1,79.2,62.4,60,65.1,16.3,14.9,17.9,6.9,6.1,7.8,0,8.9,29.062,0,10,29,34,24,103,133,73,41,53,29,92,122,62,-11,-3.7
Algeria,2021,  43 812,  44 178,  22 497,  21 681,18.5,103.8,27.8,750,17,731,1.66,41.9,951,18,21.5,2.89,1.37,31.4,105,201,110,91,4.5,76.4,74.9,78,63.3,61.9,64.8,16.9,16,17.8,7.2,6.8,7.6,18,18.7,935.085,21,22,40,44,36,104,120,86,36,41,29,80,96,64,-19,-0.4
American Samoa,2021,46,45,22,23,225.2,98,27.6,0,10.4,-1,-2.62,...,1,0,17.2,2.27,1.09,29.5,106,0,0,0,6.8,72.5,69.1,76.6,58.4,55,62.4,13.7,11.6,16.1,5.7,4.5,6.9,0,7.9,0.783,0,11,35,47,23,149,196,100,57,79,35,138,185,90,-2,-35.9
Andorra,2021,78,79,40,39,168.2,104.4,42.5,0,-0.9,1,1.66,41.9,1,0,7.2,1.13,0.54,32,106,1,0,0,8.2,80.4,77.2,84.3,66,62.8,69.9,19.1,16.7,22,9.4,7.9,10.8,0,5.8,0.564,0,7,15,16,13,74,98,48,21,27,15,66,91,40,1,17.6
Angola,2021,  33 958,  34 504,  17 051,  17 452,27.7,97.7,16.2,  1 063,30.8,  1 092,3.16,21.9,  1 339,248,38.8,5.3,2.35,28.9,103,276,151,126,8,61.6,59,64.3,51.9,49.5,54.3,12.1,11.2,13,5.3,4.9,5.6,64,48.1,"1,286.77",90,69,155,176,133,338,391,285,152,183,122,279,331,227,29,0.8
Anguilla,2021,16,16,8,8,179,96,36.7,0,2.8,0,0.99,70,0,0,9.6,1.27,0.62,28.2,104,0,0,0,6.8,76.6,73.2,80.5,62.3,59,66.1,16.7,14.9,18.7,7.4,6.6,8.1,0,6.6,0.149,0,8,28,40,16,109,155,63,42,64,21,101,146,55,0,7.1
Antigua and Barbuda,2021,93,93,45,49,211.9,91.4,34.7,1,5.8,1,0.58,120.3,1,0,12.1,1.58,0.77,28,103,1,0,0,6.4,78.5,75.8,80.9,64.1,61.4,66.5,17.7,15.8,19.3,8.5,7.3,9.4,0,5,1.124,0,6,22,28,16,84,108,63,31,41,21,77,100,57,0,0
Argentina,2021,  45 164,  45 277,  22 415,  22 862,16.2,98,31.3,224,4.9,226,0.5,...,629,66,13.9,1.89,0.9,28.7,105,405,213,193,9,75.4,72.2,78.6,61.3,58.1,64.6,16.6,14.2,18.8,8.3,6.5,9.4,6,9.3,624.312,7,11,39,48,30,131,159,101,54,67,40,119,148,90,2,0.1
Armenia,2021,  2 799,  2 791,  1 256,  1 534,98.1,81.9,34.4,-3,-1,-15,-0.56,...,34,1,12,1.58,0.74,27.3,110,36,20,17,13,72,66.6,77.4,57.9,52.4,63.1,13.9,10.5,16.8,6.7,4.6,7.7,0,9.4,33.426,0,10,29,40,19,171,270,93,57,92,29,162,260,84,-13,-4.6
