"Region, subregion, country or area *",Year,"Total Population, as of 1 January (thousands)","Total Population, as of 1 July (thousands)","Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
Eastern Africa,2021,455228,461142,228643,232499,69.3,98.3,17.6,11957,25.9,11828,2.57,27,15329,2457,33.2,4.24,1.9,28.9,103,3372,1848,1525,7.3,63,60.4,65.7,52.2,49.8,54.7,12.7,11.6,13.6,5.7,5.1,6.2,569,37.2,14,782,52,143,164,123,326,375,276,157,187,127,279,328,230,-129,-0.3
Middle Africa,2021,187423,190268,94624,95644,29.3,98.9,16,5810,30.5,5691,2.99,23.2,7603,1179,39.9,5.62,2.4,29.4,103,1792,966,826,9.4,59.2,57,61.4,50.5,48.6,52.4,11.9,11.1,12.6,5.2,4.8,5.4,398,52.5,7,579,78,193,212,173,376,416,334,179,202,154,306,345,266,-120,-0.6
Northern Africa,2021,253619,255738,129017,126721,33.3,101.8,24.5,4356,17,4237,1.66,41.8,5928,456,23.2,3.07,1.44,29.1,105,1572,867,705,6.1,71,68.8,73.4,58.4,56.3,60.6,14,12.8,15.1,6.1,5.5,6.5,131,22,5,167,28,60,69,51,170,204,134,59,72,45,141,174,107,-119,-0.5
Southern Africa,2021,67674,67985,33111,34874,25.6,94.9,26.5,620,9.1,622,0.91,75.8,1396,170,20.5,2.45,1.12,27.8,104,776,386,390,11.4,61.7,58.8,64.5,49.5,46.7,52.1,12.2,10.6,13.3,6.4,5.4,6.9,41,29,1,54,38,142,164,119,383,438,329,197,229,164,354,410,301,2,0
Western Africa,2021,413341,418544,210489,208056,69,101.2,17.2,10588,25.3,10407,2.49,27.9,15113,2308,36.1,4.98,2.01,29.3,104,4525,2334,2191,10.8,56.6,55.6,57.5,49.2,48.4,50.1,11.5,11,11.9,4.8,4.6,5.1,919,61,14,1375,93,232,236,228,412,430,394,201,208,194,327,346,309,-182,-0.4
Central Asia,2021,75325,75898,37536,38362,19.3,97.8,26.3,1228,16.2,1146,1.51,45.9,1772,68,23.3,2.97,1.4,27.7,107,544,291,252,7.2,70.1,67.1,73.2,56.5,53.5,59.4,12.9,11.3,14.1,5.6,4.8,6,27,15.4,1,31,18,49,60,37,188,243,134,73,97,49,172,226,119,-83,-1.1
Eastern Asia,2021,1663908,1663697,844608,819088,141.1,103.1,38.9,-382,-0.2,-422,-0.03,0,12640,423,7.6,1.17,0.55,29.1,111,13022,7296,5726,7.8,79.1,76.2,82.2,64.8,62,67.9,18.6,16.5,20.5,8.6,7.4,9.5,71,5.5,12,92,7,26,31,20,87,113,61,34,44,24,79,104,53,-40,0
Southern Asia,2021,1980450,1989452,1017573,971880,310.8,104.7,26.5,18903,9.5,18005,0.91,76.6,36086,2576,18.1,2.23,1.02,27.8,107,17183,9384,7799,8.6,67.6,65.8,69.5,55.5,53.7,57.4,13.1,12.3,14,5.9,5.4,6.3,1085,30.1,35,1326,37,83,92,75,239,272,204,92,109,73,206,239,170,-898,-0.5
South-Eastern Asia,2021,673206,675796,338516,337281,151.9,100.4,29.8,5283,7.8,5181,0.77,90.4,11086,950,16.4,2.14,0.99,28.4,107,5803,3162,2641,8.6,70.2,67.5,73.1,57.2,54.6,59.9,14.1,12.6,15.5,6.5,5.7,7,214,19.3,10,260,23,68,80,54,200,240,158,83,101,64,176,215,136,-102,-0.2
Western Asia,2021,287902,289733,151357,138376,60.5,109.4,26.6,4045,14,3663,1.26,54.8,5643,403,19.5,2.59,1.22,29.2,106,1599,896,702,5.5,73.2,70.6,76.1,60.1,57.6,62.9,15.2,13.4,16.7,6.6,5.6,7.3,103,18.2,5,129,23,49,58,40,143,172,108,50,61,37,120,148,87,-382,-1.3
