World,Year,Population,"Male Population, as of 1 July (thousands)","Female Population, as of 1 July (thousands)","Population Density, as of 1 July (persons per square km)","Population Sex Ratio, as of 1 July (males per 100 females)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Mean Age Childbearing (years),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),Male Deaths (thousands),Female Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)",Male Life Expectancy at Birth (years),Female Life Expectancy at Birth (years),"Life Expectancy at Age 15, both sexes (years)",Male Life Expectancy at Age 15 (years),Female Life Expectancy at Age 15 (years),"Life Expectancy at Age 65, both sexes (years)",Male Life Expectancy at Age 65 (years),Female Life Expectancy at Age 65 (years),"Life Expectancy at Age 80, both sexes (years)",Male Life Expectancy at Age 80 (years),Female Life Expectancy at Age 80 (years),"Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Male Mortality before Age 40 (deaths under age 40 per 1,000 male live births)","Female Mortality before Age 40 (deaths under age 40 per 1,000 female live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Male Mortality before Age 60 (deaths under age 60 per 1,000 male live births)","Female Mortality before Age 60 (deaths under age 60 per 1,000 female live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Male Mortality between Age 15 and 50 (deaths under age 50 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 50 (deaths under age 50 per 1,000 females alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)","Male Mortality between Age 15 and 60 (deaths under age 60 per 1,000 males alive at age 15)","Female Mortality between Age 15 and 60 (deaths under age 60 per 1,000 females alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
WORLD,1950,2477675000,1245363,1253959,19.2,99.3,22.2,43295,17.3,43295,1.73,40,92083,10629,36.8,4.86,1.64,28.9,105,48789,25785,23004,19.5,46.5,44.6,48.4,47,44.8,49.4,11.3,10.5,12,5,4.7,5.2,13109,143.4,82,19780,224,372,389,355,540,581,498,240,272,208,379,430,325,0,0
WORLD,1951,2520970000,1267473,1275657,19.5,99.4,22.2,44322,17.4,44322,1.74,39.8,92837,10742,36.5,4.83,1.64,28.9,105,48515,25505,23009,19.1,47.1,45.4,49,47.5,45.5,49.6,11.3,10.5,12.1,5,4.7,5.2,13087,141.3,83,19825,219,362,376,348,529,567,490,231,258,204,368,416,319,0,0
WORLD,1952,2565291000,1291400,1298871,19.9,99.4,22.1,49960,19.3,49959,1.93,35.9,97607,11232,37.7,5.01,1.73,29,105,47647,24935,22711,18.4,48.2,46.6,49.9,48.3,46.4,50.2,11.6,10.7,12.3,5.1,4.8,5.4,13216,137.3,88,19876,212,347,358,337,512,546,477,219,240,197,353,396,310,0,0
WORLD,1953,2615251000,1316659,1323620,20.2,99.5,22,50057,19,50056,1.9,36.6,97556,11201,36.9,4.94,1.72,28.9,105,47499,24806,22693,18,48.8,47.2,50.4,48.6,46.8,50.4,11.6,10.8,12.4,5.1,4.8,5.4,13117,134.5,88,19781,207,340,349,331,503,536,470,213,233,193,345,386,304,0,0
WORLD,1954,2665307000,1342923,1349056,20.6,99.5,22,53345,19.8,53345,1.98,35,100348,11471,37.3,5.01,1.76,28.9,105,47003,24540,22463,17.5,49.6,48,51.2,49.1,47.3,50.9,11.8,10.9,12.6,5.3,4.9,5.5,13122,131.7,91,19782,202,330,339,321,491,523,458,206,224,187,335,375,296,0,0
WORLD,1955,2718652000,1370392,1375680,21.1,99.6,21.8,54841,20,54841,2,34.7,101807,11565,37.1,5.01,1.78,28.9,105,46966,24566,22400,17.1,50.1,48.5,51.8,49.3,47.5,51.2,11.9,11,12.7,5.3,5,5.5,13057,128.8,92,19666,197,323,332,314,483,516,450,202,220,184,330,370,291,0,0
WORLD,1956,2773493000,1398205,1402798,21.5,99.7,21.7,55021,19.6,55020,1.96,35.3,101827,11524,36.4,4.94,1.77,28.9,105,46807,24496,22310,16.7,50.6,49,52.3,49.6,47.7,51.4,11.9,11,12.8,5.3,4.9,5.5,12819,125.8,92,19374,192,316,325,307,476,508,442,198,216,180,325,365,285,0,0
WORLD,1957,2828513000,1426956,1430911,21.9,99.7,21.6,58709,20.5,58708,2.05,33.7,105978,11871,37.1,5.08,1.83,28.9,105,47269,24759,22510,16.5,50.9,49.3,52.6,49.7,47.8,51.6,12,11,12.8,5.3,5,5.6,12970,123.7,96,19501,189,312,320,303,472,505,438,196,214,178,323,363,283,0,0
WORLD,1958,2887221000,1456539,1459569,22.4,99.8,21.5,57775,19.8,57774,1.98,35,104557,11690,35.9,4.94,1.79,28.8,105,46783,24528,22255,16,51.5,49.8,53.3,50,48.1,52,12.2,11.1,13,5.5,5.1,5.7,12725,121.1,95,19172,185,305,314,296,463,497,430,192,210,174,317,356,277,0,0
WORLD,1959,2944995000,1483989,1486304,22.8,99.8,21.5,50595,17,50594,1.7,40.7,101922,11514,34.3,4.74,1.66,28.7,105,51327,26899,24428,17.3,49.3,47.7,51.1,49.2,47.2,51.2,11.9,10.9,12.8,5.4,5,5.7,13360,129.6,92,21160,204,333,343,323,495,529,460,205,226,184,336,378,293,0,0
