Country,1951,1961,1971,1981,1991,2001,2011,2021,1951_,1961_,1971_,1981_,1991_,2001_,2011_,2021_
Afghanistan,7524000,8703000,10886000,12056000,10544000,19416000,28576000,39618000,11.7,13.5,17,17.2,16.5,30.3,45,61.8
Albania,1271000,1740000,2357000,2968000,3300000,3168000,2906000,2862000,47.1,64.6,87.2,109.2,120.5,115.1,105.9,104.2
Algeria,9147000,11509000,13950000,19036000,25827000,30988000,36193000,43812000,3.9,4.9,5.9,8.1,11,13.1,15.3,18.5
American Samoa,19000,20000,27000,33000,48000,58000,55000,46000,97.1,103.1,138,170.3,245,291.6,271.6,225.2
Andorra,6000,10000,21000,36000,55000,66000,70000,78000,12.4,21.7,45.4,78.7,117.9,144.3,150.1,168.2
Angola,4523000,5401000,6093000,8478000,12026000,16661000,23803000,33958000,3.7,4.4,5,6.9,9.8,13.6,19.5,27.7
Anguilla,5000,6000,6000,7000,8000,11000,13000,16000,59.6,65.9,71.9,74.7,97.9,128.9,151.6,179
Antigua and Barbuda,46000,56000,65000,65000,63000,76000,86000,93000,105.5,127.8,147.2,147.9,144.6,173.2,197.1,211.9
Argentina,17186000,20512000,24033000,28245000,32873000,37278000,41307000,45164000,6.2,7.4,8.7,10.2,11.9,13.4,14.9,16.2
Armenia,1404000,1938000,2563000,3151000,3587000,3149000,2937000,2799000,50,69.3,91,111.3,127.1,110.1,102.9,98.1
Aruba,39000,55000,59000,62000,67000,90000,101000,107000,223.5,310.1,326.8,347.9,377,503.8,562.7,591.9
Australia,8305000,10400000,12796000,14808000,17167000,19133000,22181000,25796000,1.1,1.4,1.7,1.9,2.2,2.5,2.9,3.4
Austria,6935000,7064000,7477000,7551000,7712000,8020000,8375000,8914000,84,85.9,90.9,91.7,94,97.4,101.7,108.1
Azerbaijan,3191000,4199000,5478000,6426000,7484000,8237000,9297000,10296000,39,51.7,66.9,78.3,91.2,100.2,113.2,124.8
Bahamas,82000,117000,182000,226000,273000,327000,376000,407000,15.5,22.4,34.4,42.5,51.5,61.5,70.5,76.1
Bahrain,119000,164000,225000,371000,526000,721000,1214000,1461000,153.7,213.2,295,482,683.8,932.6,1548,1868.8
Bangladesh,40121000,51115000,68296000,84985000,108294000,130411000,149295000,168415000,311.5,398.6,525.3,661.9,839.2,1011.5,1154,1301
Barbados,213000,233000,242000,254000,259000,265000,275000,281000,501,543.5,563.6,592.3,603.3,617.2,640.7,654
Belarus,7887000,8442000,9203000,9847000,10446000,10232000,9718000,9606000,38.8,41.9,45.5,48.7,51.5,50.3,47.8,47.2
Belgium,8638000,9136000,9648000,9836000,9973000,10286000,10917000,11582000,285.9,302.8,319.3,325.1,329.8,340.5,361.8,383.5
Belize,70000,93000,122000,147000,185000,244000,326000,397000,3.1,4.1,5.4,6.5,8.2,10.9,14.4,17.5
Benin,2272000,2531000,3055000,3886000,5212000,7104000,9584000,12819000,20.2,22.6,27.4,35,46.9,64,86.3,115.3
Bermuda,37000,42000,52000,54000,58000,62000,64000,64000,695.2,794.2,972.9,998.3,1071.7,1143.8,1176.5,1188.6
Bhutan,178000,224000,304000,422000,565000,595000,709000,775000,4.7,5.9,8,11.2,14.8,15.7,18.6,20.3
Bolivia,3113000,3746000,4636000,5799000,7170000,8669000,10310000,12010000,2.9,3.5,4.3,5.4,6.7,8.1,9.6,11.2
"Bonaire, Sint Eustatius and Saba",7000,8000,10000,12000,13000,14000,21000,26000,21.4,23.8,30.3,35.7,38.8,43.4,63.6,81.4
Bosnia and Herzegovina,2715000,3294000,3838000,4217000,4500000,4187000,3777000,3296000,53.5,65,75.4,82.7,87.9,81.9,73.1,63.9
Botswana,418000,519000,596000,961000,1361000,1745000,2113000,2569000,0.7,0.9,1.1,1.7,2.4,3.1,3.8,4.6
Brazil,54759000,74208000,97563000,123724000,152042000,177055000,197274000,213828000,6.7,9,11.8,15,18.3,21.3,23.7,25.6
British Virgin Islands,7000,8000,10000,11000,16000,20000,28000,31000,47.8,51.2,63.7,74.5,104.5,134.1,181.6,202.1
Brunei,50000,87000,136000,191000,266000,337000,399000,444000,8.9,15.5,24.1,33.7,46.8,59.1,69.6,77.3
Bulgaria,7195000,7931000,8617000,8980000,8748000,8065000,7569000,6938000,66.7,73.5,79.8,82.8,80.5,74.1,69.6,63.5
Burkina Faso,4237000,4818000,5660000,7027000,9251000,12062000,16354000,21813000,15.6,17.7,20.9,26,34.2,44.8,60.7,80.8
Burundi,2279000,2774000,3540000,4449000,5539000,6372000,9298000,12387000,88.8,108.5,138,173.1,215.6,249.2,364.4,483.7
Cabo Verde,186000,212000,291000,319000,368000,462000,524000,585000,46.5,53.3,72.8,79.8,92.5,115.6,130.9,145.9
Cambodia,4432000,5603000,6674000,6230000,9083000,12228000,14468000,16497000,24.8,31.3,37,35.2,51.1,68.2,80.5,91.6
